web-scraper-order,web-scraper-start-url,joblink,joblink-href,Job,company,Location,keyskills,min experince,salary,industry,functional area,role category,role,employement type,ug education ,pg education,job resposibilities,job requirements
"1551718705-4720","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Frontend Developer - Javascript/html5/css","https://www.naukri.com/job-listings-Frontend-Developer-Javascript-html5-css-TalentStack-The-Hiring-Story-Kolkata-2-to-5-years-040319002424?src=premjobsearchDesk&sid=15517186371767&xp=13&px=3","Frontend Developer - Javascript/html5/css","TalentStack/The Hiring Story","Kolkata","javascript     css     html5     ux     front end     frontend developer     es6     moch     jasmine","2 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551714386-3425","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-43","Hiring for Digital Marketing - Head @ Chennai","https://www.naukri.com/job-listings-Hiring-for-Digital-Marketing-Head-Chennai-Ionixx-Technologies-Private-Limited-Chennai-Tiruvanmiyur-6-to-8-years-280219002480?src=premjobsearchDesk&sid=15517142937769&xp=8&px=43","Hiring for Digital Marketing - Head @ Chennai","Ionixx Technologies Private Limited","Chennai(Tiruvanmiyur)","Digital Marketing     SEO     Online Marketing     Google AdWords     Google Analytics     Online Advertising     PPC     Search Engine Optimization     Email Marketing     Digital Advertising     website     blogs     emails and social media - Linkedin     Facebook     Twitter     YouTube","6 - 8 yrs","Best in Industry standard","IT-Software  /    Software Services","Functional Area:     Marketing   ,     Advertising   ,     MR   ,     PR   ,     Media Planning","Senior Management","Head/VP/GM/ Mgr-Online/Digital Marketing","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","","Job Description"
"1551718814-4759","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-2","Software Engineer - Robotics","https://www.naukri.com/job-listings-Software-Engineer-Robotics-Squareroot-Bengaluru-2-to-5-years-040319900696?src=premjobsearchDesk&sid=15517187698335&xp=24&px=2","Software Engineer - Robotics","Squareroot","Bengaluru","C++     Java     Algorithms     Android     Software Engineering     Python     Image Processing     OS     Linux     Programming","2 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech - Any Specialization","null","null"
"1551713329-3073","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-50","Engineering Director - Digital Experience","https://www.naukri.com/job-listings-Engineering-Director-Digital-Experience-Simply-People-Bengaluru-15-to-20-years-270219002184?src=premjobsearchDesk&sid=15517132285375&xp=10&px=50","Engineering Director - Digital Experience","Simply People","Bengaluru","HTML     CSS     Javascript     Algorithms     Java     CMS     Data Structures     Sales     Marketing     Business Development Operations","15 - 20 yrs","Not Disclosed by Recruiter","Banking  /    Financial Services  /    Broking","Functional Area:     Top Management","CEO/MD/Director","Permanent Job, Full Time","null","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551715285-3724","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","SAP Pi/po Consultant - Abap/hr/hana Modules","https://www.naukri.com/job-listings-SAP-Pi-po-Consultant-Abap-hr-hana-Modules-Ciber-Bengaluru-2-to-7-years-250219902542?src=premjobsearchDesk&sid=15517151687796&xp=9&px=37","SAP Pi/po Consultant - Abap/hr/hana Modules","Ciber","Bengaluru","Smartforms     User Exits     SAP Scripts     Adobe Forms     OO ABAP     Alv     Bapi     Badi     Bdc     Ale","2 - 7 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - ERP   ,     CRM","Other","Outside Consultant","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","MBA/PGDM - Any Specialization, MCA - Computers","null","null"
"1551715222-3711","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","Quality Assurance Automation Lead - Selenium","https://www.naukri.com/job-listings-Quality-Assurance-Automation-Lead-Selenium-Jobay-Bengaluru-7-to-11-years-250219901623?src=premjobsearchDesk&sid=15517151687796&xp=22&px=37","Quality Assurance Automation Lead - Selenium","Jobay","Bengaluru","Quality Assurance Automation Lead     Quality Assurance Automation     Selenium     Agile     testing     test frameworks     Automation     Manual testing","7 - 11 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - QA & Testing","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Computers","Any Postgraduate - Any Specialization","null","null"
"1551716944-4088","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-29","Backend Architect Python for high Growth Healthcare Startup","https://www.naukri.com/job-listings-Backend-Architect-Python-for-high-Growth-Healthcare-Startup-Talent-Stock-Solutions-Bengaluru-5-to-8-years-260219007952?src=premjobsearchDesk&sid=15517169583371&xp=45&px=29","Backend Architect Python for high Growth Healthcare Startup","Talent Stock Solutions","Bengaluru","Backend Developer     Python Developer","5 - 8 yrs","INR     15,00,000 - 20,00,000 P.A.","Medical  /    Healthcare  /    Hospitals","Functional Area:     IT Software - eCommerce   ,     Internet Technologies","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","null","null","null"
"1551714727-3537","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-40","Senior Java Developer / Java Tech Lead","https://www.naukri.com/job-listings-Senior-Java-Developer-Java-Tech-Lead-Iconic-Profiles-Consulting-Bengaluru-5-to-10-years-111018001725?src=premjobsearchDesk&sid=15517147421076&xp=46&px=40","Senior Java Developer / Java Tech Lead","Iconic Profiles Consulting  hiring for Software Product MNC","Bengaluru","spring     hibernate     tomcat     git     full stack     angularjs     react","5 - 10 yrs","Best in the industry","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech, MCA","null","null"
"1551718171-4531","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-21","Qlikview Developer and Qliksense Developer","https://www.naukri.com/job-listings-Qlikview-Developer-and-Qliksense-Developer-Zen3-Info-Solutions-Private-Limited-Hyderabad-5-to-10-years-250219006393?src=premjobsearchDesk&sid=15517180731854&xp=2&px=21","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551717437-4266","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-26","Program / Project Manager","https://www.naukri.com/job-listings-Program-Project-Manager-Societe-Generale-Global-Solution-Centre-Bengaluru-10-to-12-years-270219900635?src=premjobsearchDesk&sid=15517173726811&xp=17&px=26","Program / Project Manager","Societe Generale Global Solution Centre","Bengaluru","Automation     Application development     Investment banking     Infrastructure management     Information management     Business process management     Artificial Intelligence     Genetics     Operations     Management","10 - 12 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Senior Management","Program Manager","Permanent Job, Full Time","B.Tech/B.E. - Computers","M.Tech - Computers","null","null"
"1551716613-3967","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-32","Software Technologist I","https://www.naukri.com/job-listings-Software-Technologist-I-Philips-India-Limited-Bengaluru-5-to-7-years-260219901378?src=premjobsearchDesk&sid=15517165316160&xp=16&px=32","Software Technologist I","Philips India Limited","Bengaluru","c#     wpf     .net     software architecture     software engineering     project management     system engineering     software technologist     dot net     html5","5 - 7 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551717816-4400","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-23","Firmware Developer - Embedded Software Development","https://www.naukri.com/job-listings-Firmware-Developer-Embedded-Software-Development-Confidential-Bengaluru-4-to-8-years-280219900262?src=premjobsearchDesk&sid=15517177954032&xp=33&px=23","Firmware Developer - Embedded Software Development","Confidential","Bengaluru","C     Firmware Development     Embedded Software Development     Debugging     Interpersonal Skills     Problem Solving     Firmware Developer","4 - 8 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Embedded   ,     EDA   ,     VLSI   ,     ASIC   ,     Chip Design","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551717847-4411","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-23","Sharepoint Developer - Asp/.net","https://www.naukri.com/job-listings-Sharepoint-Developer-Asp-net-V-Employment-Solutions-Mumbai-2-to-5-years-280219900313?src=premjobsearchDesk&sid=15517177954032&xp=22&px=23","Sharepoint Developer - Asp/.net","V Employment Solutions","Mumbai","ASP.Net     Sharepoint Development     .Net     ASP     Software Engineering     System Integration     analysis     design     SDLC     OOPS     C#     ASP .Net     Webservices     WCF     troubleshooting","2 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","MCA - Computers","null","null"
"1551714760-3549","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-40","Principal Architect - Machine Learning","https://www.naukri.com/job-listings-Principal-Architect-Machine-Learning-Engage-IT-Manpower-Solutions-Pvt-Ltd-Bengaluru-14-to-18-years-280219901572?src=premjobsearchDesk&sid=15517147421076&xp=34&px=40","Principal Architect - Machine Learning","Engage IT Manpower Solutions Pvt Ltd","Bengaluru","conferences     data mining     machine learning     advanced analytics     data collection     Architect     R     Weka     NumPy     MatLab     NoSQL databases     MongoDB     Couchbase","14 - 18 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - DBA   ,     Datawarehousing","Programming & Design","Database Architect/Designer","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551713991-3285","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","Qt/qml/ Html/ JavaScript","https://www.naukri.com/job-listings-Qt-qml-Html-JavaScript-Talent-Grow-Recruitment-Consultants-Bengaluru-3-to-8-years-270219007496?src=premjobsearchDesk&sid=15517140096895&xp=48&px=45","Qt/qml/ Html/ JavaScript","Talent Grow Recruitment Consultants","Bengaluru","Qml     QT     Javascript     HTML     Application Development     Design Development     Life Cycle","3 - 8 yrs","INR     10,00,000 - 20,00,000 P.A.","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","null","null","null","null"
"1551714689-3524","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-41","Specialist, Bridges","https://www.naukri.com/job-listings-Specialist-Bridges-COWI-India-Pvt-Ltd-Gurgaon-8-to-12-years-140917900282?src=premjobsearchDesk&sid=15517145916131&xp=9&px=41","Specialist, Bridges","COWI India Pvt Ltd.","Gurgaon","design calculations     bridges     structural engineering     highway bridges     river bridges     metro     Bridge Design     Structural Design     Finite Element Analysis     viaduct","8 - 12 yrs","Not Disclosed by Recruiter","Construction  /    Engineering  /    Cement  /    Metals","Functional Area:     Engineering Design   ,     R&D","Engineering Design","Senior Design Engineer","Permanent Job, Full Time","B.Tech/B.E. - Civil","M.Tech - Any Specialization","We are looking forward to receiving your CV and application until 1st Apr 2019. Please note we will conduct interviews on an ongoing basis.","null"
"1551718522-4653","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-8","Piping Stress Engineer","https://www.naukri.com/job-listings-Piping-Stress-Engineer-ISGEC-Heavy-Engineering-Limited-Noida-7-to-12-years-300119009531?src=premjobsearchDesk&sid=15517184942846&xp=30&px=8","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551717011-4115","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-29","SAP UI5 Fiori Consultants - Immediate Joiners - Noida/pune","https://www.naukri.com/job-listings-SAP-UI5-Fiori-Consultants-Immediate-Joiners-Noida-pune-Growel-Softech-Pvt-Ltd-Delhi-NCR-Pune-3-to-8-years-270219000823?src=premjobsearchDesk&sid=15517169583371&xp=18&px=29","SAP UI5 Fiori Consultants - Immediate Joiners - Noida/pune","Growel Softech Pvt. Ltd.  hiring for CMMI level5","Delhi NCR,    Pune","SAP UI5     SAP Fiori     Odata","3 - 8 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","System Design/Implementation/ERP/CRM","Outside Technical Consultant","Permanent Job, Full Time","null","null","null","null"
"1551714388-3426","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-43","Strategic Key Accounts Manager - South","https://www.naukri.com/job-listings-Strategic-Key-Accounts-Manager-South-Careerist-management-Consultants-Pvt-Ltd-Bengaluru-Chennai-7-to-12-years-280219002528?src=premjobsearchDesk&sid=15517142937769&xp=7&px=43","null","null","null","null","null","null","null","null","null","Send me Jobs like this","null","null","null","null","null"
"1551718594-4681","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-8","Senior Web Developer South Extension Part 2, New Delhi","https://www.naukri.com/job-listings-Senior-Web-Developer-South-Extension-Part-2-New-Delhi-Bee5-Manpower-Consulting-Delhi-3-to-5-years-040917007313?src=premjobsearchDesk&sid=15517184942846&xp=2&px=8","Senior Web Developer South Extension Part 2, New Delhi","Bee5 Manpower Consulting","Delhi","PHP     OOPs     JQuery     Linux     CakePhp     Codeigniter     Design     Coding     Debugging     Deployment of Change     SQL Queries     Database Schema Design     HTML     CSS     JavaScript     AJAX     Authentication     Highly Trafficked & Salable     Load Balancing with LAMP     API integration","3 - 5 yrs","INR     6,00,000 - 12,00,000 P.A. PHP, Oops, Jquery, Linux, Cakephp, Codeigniter, Design, Coding, Debugging, Deployment of Change, SQL Queries, Database Schema Design, Html, CSS, Javascript, Ajax, Authentication, Highly Trafficked & Salable, Load Balancing with Lamp, API integration","NGO  /    Social Services  /    Regulators  /    Industry Associations","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551713648-3173","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-48","Application Developer (C#, B1 Visa)","https://www.naukri.com/job-listings-Application-Developer-C-B1-Visa-Akaaro-Consulting-and-Training-Noida-8-to-13-years-180119900188?src=premjobsearchDesk&sid=15517135274940&xp=10&px=48","Application Developer (C#, B1 Visa)","Akaaro Consulting and Training","Noida","Entity Framework     LINQ     MVC     ASP.Net     Javascript     SQL Server     C#     JQuery     Bootstrap     Html5     B1 visa","8 - 13 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551717466-4277","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-26","DFT Engineer - Atpg/mbist","https://www.naukri.com/job-listings-DFT-Engineer-Atpg-mbist-Tessolve-Semiconductor-Bengaluru-4-to-9-years-270219903818?src=premjobsearchDesk&sid=15517173726811&xp=6&px=26","DFT Engineer - Atpg/mbist","Tessolve Semiconductor","Bengaluru","DFT Engineer     DFT     ATPG     MBIST     VCS     Mentor ETVerify     Tetramax     TestKompress","4 - 9 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Embedded   ,     EDA   ,     VLSI   ,     ASIC   ,     Chip Design","Programming & Design","Testing Engineer","Permanent Job, Full Time","B.Tech/B.E. - Electrical, Computers, Electronics/Telecommunication","MS/M.Sc(Science) - Computers, Electrical Engineering, Electronics","null","null"
"1551714171-3347","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-44","Head - IT","https://www.naukri.com/job-listings-Head-IT-Entertainment-City-Ltd-Noida-10-to-12-years-050219901650?src=premjobsearchDesk&sid=15517141601034&xp=36&px=44","Head - IT","Entertainment City Ltd.","Noida","networking     information technology     technical support     hardware maintenance     network management     computer hardware     disaster recovery     business continuity     disciplinary action     technical management     information analysis","10 - 12 yrs","Not Disclosed by Recruiter","Media  /    Entertainment  /    Internet","Functional Area:     IT Software - Network Administration   ,     Security","Senior Management","Head/VP/GM-Technology(IT)/CTO","Permanent Job, Full Time","Any Graduate - Any Specialization, B.Sc - Any Specialization, Computers","Any Postgraduate - Any Specialization, MS/M.Sc(Science) - Any Specialization","Success Factors:","null"
"1551715881-3838","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-34","DGM Sales - Managed Services - Leading IMS Company - Mumbai","https://www.naukri.com/job-listings-DGM-Sales-Managed-Services-Leading-IMS-Company-Mumbai-Hector-and-Streak-Consulting-Pvt-Ltd-Mumbai-12-to-20-years-260219007560?src=premjobsearchDesk&sid=15517158624086&xp=45&px=34","null","null","null","null","null","null","null","null","Email :","Reference Id:","null","null","null","null","null"
"1551714825-3572","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-40","Java Developer (female Candidates Only)","https://www.naukri.com/job-listings-Java-Developer-female-Candidates-Only-Apidel-Technologies-Chennai-9-to-13-years-280219901684?src=premjobsearchDesk&sid=15517147421076&xp=11&px=40","Java Developer (female Candidates Only)","Apidel Technologies","Chennai","Java     J2EE     Spring     Hibernate     Design Patterns     Web Sphere     Oracle RDBMS     Java Developer","9 - 13 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization, Computers","Any Postgraduate - Any Specialization","null","null"
